ru,Золотое Яблоко,Gold Apple,https://goldapple.ru
ru,Л'Этуаль,L'Etoile,https://www.letu.ru
ru,Рив Гош,Rive Gauche,https://rivegauche.ru
ru,ЦУМ,TSUM,https://www.tsum.ru
ru,ГУМ,GUM,https://gum.ru
ru,Читай-город,Chitai-Gorod,https://www.chitai-gorod.ru
ru,Буквоед,Bookvoed,https://www.bookvoed.ru
ru,SUNLIGHT,SUNLIGHT,https://sunlight.net
ru,SOKOLOV,SOKOLOV,https://sokolov.ru
ru,Спортмастер,Sportmaster,https://www.sportmaster.ru
ru,М.Видео,M.Video,https://www.mvideo.ru
ru,Ozon,Ozon,https://www.ozon.ru
ru,Wildberries,Wildberries,https://www.wildberries.ru
ru,Яндекс Маркет,Yandex Market,https://market.yandex.ru
ru,12 STOREEZ,12 STOREEZ,https://12storeez.com
ru,Lime,Lime,https://lime-shop.com
ru,Мосцветторг,Moscvettorg,https://moscvettorg.com
ru,Алёнка,Alenka,https://shop.alenka.ru
istanbul,Sephora,Sephora,https://www.sephora.com.tr
istanbul,Gratis,Gratis,https://www.gratis.com
istanbul,Watsons,Watsons,https://www.watsons.com.tr
istanbul,Vakko,Vakko,https://www.vakko.com
istanbul,Beymen,Beymen,https://www.beymen.com
istanbul,D&R,D&R,https://www.dr.com.tr
istanbul,Mudo,Mudo,https://www.mudo.com.tr
istanbul,Atasay,Atasay,https://www.atasay.com
istanbul,Paşabahçe,Pasabahce,https://www.pasabahcemagazalari.com
istanbul,Trendyol,Trendyol,https://www.trendyol.com
istanbul,Hepsiburada,Hepsiburada,https://www.hepsiburada.com
dubai,Sephora,Sephora,https://www.sephora.ae
dubai,Faces,Faces,https://www.faces.com
dubai,Level Shoes,Level Shoes,https://www.levelshoes.com
dubai,Virgin Megastore,Virgin Megastore,https://www.virginmegastore.ae
dubai,Ounass,Ounass,https://www.ounass.ae
dubai,Bloomingdale's,Bloomingdale's,https://www.bloomingdales.ae
dubai,Rivoli,Rivoli,https://www.rivoligroup.com
dubai,Bateel,Bateel,https://www.bateel.com
dubai,noon,noon,https://www.noon.com
dubai,Amazon.ae,Amazon.ae,https://www.amazon.ae
london,Selfridges,Selfridges,https://www.selfridges.com
london,Harrods,Harrods,https://www.harrods.com
london,Liberty,Liberty,https://www.libertylondon.com
london,Fortnum & Mason,Fortnum & Mason,https://www.fortnumandmason.com
london,Boots,Boots,https://www.boots.com
london,Waterstones,Waterstones,https://www.waterstones.com
london,Space NK,Space NK,https://www.spacenk.com
london,Hamleys,Hamleys,https://www.hamleys.com
london,John Lewis,John Lewis,https://www.johnlewis.com
berlin,KaDeWe,KaDeWe,https://www.kadewe.de
berlin,Douglas,Douglas,https://www.douglas.de
berlin,Dussmann,Dussmann das KulturKaufhaus,https://www.kulturkaufhaus.de
berlin,Galeria,Galeria,https://www.galeria.de
berlin,Thalia,Thalia,https://www.thalia.de
berlin,CHRIST,CHRIST,https://www.christ.de
berlin,Manufactum,Manufactum,https://www.manufactum.de
berlin,Rausch Schokoladenhaus,Rausch,https://www.rausch.de
