Cherish,Малая Посадская улица,3,Горьковская,59.957654,30.320728,spb
Дуэты,улица Белинского,13,,59.937992,30.347865,spb
Rossi's Club,улица Зодчего Росси,1/3,Гостиный двор,59.930143,30.335052,spb
Хаус,проспект Энгельса,124,,60.040331,30.324634,spb
Сплетни бар by Anna Asti,Конюшенная площадь,2Г,,59.941200,30.324365,spb
Синий Пушкин,улица Жуковского,3,Маяковская,59.935707,30.350355,spb
Руки Вверх! Бар,проспект Культуры,1,,60.033485,30.367960,spb
Leps Bar,Конюшенная площадь,2Г,,59.941200,30.324365,spb
Lomonosov Bar,улица Ломоносова,1,Гостиный двор,59.932398,30.326677,spb
Mendeleev Bar,Банковский переулок,6,Сенная площадь,59.931291,30.323113,spb
7sky,Ковенский переулок,5,,59.937084,30.356204,spb
Party Time,Комендантский проспект,26к1,Комендантский проспект,60.013476,30.250978,spb
PiterParty,улица Марата,35,Владимирская,59.925832,30.351479,spb
PANDORA,набережная Обводного канала,80,,59.909197,30.325271,spb
Bonnie & Clyde,Владимирский проспект,1/47,Владимирская,59.932132,30.346091,spb
Finch Karaoke,улица Некрасова,14Д,,60.083277,30.268950,spb
Смотри и Пой,Невский проспект,71/1,Маяковская,59.936983,30.313182,spb
Del Mar,Невский проспект,52,Невский проспект,59.934457,30.335858,spb
Типичный Питер,Тележная улица,37,Площадь Александра Невского,59.922827,30.379514,spb
